num_agents,edge_density,graph_type,dsan_temperature,num_actions,num_iterations,cost_range,y
25,0.1,complete,1.0,2,500,4,1.5555555555555554
90,0.25,erdos_renyi,10.0,5,1000,4,1.933615324841363
25,0.75,barabasi_albert,2.0,7,1000,101,31.14705882352941
90,0.1,complete,0.75,3,1000,501,202.38916666666668
50,0.1,complete,10.0,9,50,4,1.9098360655737705
25,0.99,complete,0.75,9,500,101,43.60718294051628
90,0.25,barabasi_albert,0.75,8,500,11,3.484848484848485
100,0.1,barabasi_albert,1.0,3,200,11,2.8596491228070176
90,0.5,erdos_renyi,10.0,7,200,101,46.23007213154142
75,0.5,barabasi_albert,1.0,8,100,4,1.735159817351598
50,0.9,barabasi_albert,1.0,5,100,51,18.050387596899224
90,0.9,erdos_renyi,1.0,10,50,4,1.9440158130504586
10,0.25,erdos_renyi,1.0,3,1000,101,27.773809523809522
100,0.75,complete,10.0,10,500,51,24.18992456896552
25,0.25,erdos_renyi,10.0,5,1000,501,173.9260377312224
10,0.1,barabasi_albert,2.0,2,50,501,145.66666666666666
75,0.99,complete,5.0,9,500,501,236.42773935202038
75,0.25,erdos_renyi,10.0,3,1000,501,210.92460551863027
10,0.5,complete,1.0,10,50,101,30.787878787878785
75,0.9,complete,0.75,4,50,4,1.8782539046856226
50,0.25,complete,10.0,3,200,101,42.13943355119826
100,0.9,erdos_renyi,10.0,10,200,501,239.42281340078375
25,0.75,barabasi_albert,5.0,7,200,51,17.215686274509803
100,0.5,complete,2.0,3,200,101,45.55367003367004
90,0.99,complete,0.75,3,100,501,233.96821392532794
25,0.9,erdos_renyi,0.75,3,200,101,44.27162357935264
75,0.9,barabasi_albert,10.0,7,50,51,20.679389312977097
90,0.5,complete,0.75,10,1000,4,1.9012654012654011
90,0.5,complete,2.0,9,200,101,47.11421911421911
75,0.1,erdos_renyi,10.0,6,100,101,40.63068039768644
50,0.25,complete,1.0,5,50,101,41.8235294117647
10,0.9,barabasi_albert,1.0,5,1000,101,29.90476190476191
25,0.75,barabasi_albert,10.0,7,100,101,33.068627450980394
90,0.99,complete,0.75,8,1000,4,1.926084762865792
25,0.5,erdos_renyi,5.0,9,50,51,20.487166742218793
90,0.75,complete,1.0,3,200,51,23.721944721944723
100,0.5,barabasi_albert,0.75,5,500,501,158.74149659863943
10,0.99,erdos_renyi,10.0,8,50,51,20.47407407407407
25,0.1,barabasi_albert,5.0,5,100,11,2.75
90,0.9,barabasi_albert,0.75,9,100,501,191.1793248945148
100,0.75,complete,5.0,10,50,11,5.300736350574713
90,0.1,complete,0.75,2,100,4,1.780833333333333
100,0.99,erdos_renyi,0.75,6,200,501,235.8826047943068
10,0.1,complete,0.75,3,500,11,2.9166666666666665
10,0.25,complete,1.0,7,200,4,1.4545454545454544
50,0.9,complete,5.0,8,200,101,46.548094373865695
50,0.25,barabasi_albert,0.75,4,100,51,16.291666666666664
25,0.1,complete,0.75,3,100,501,171.4
50,0.75,barabasi_albert,5.0,8,1000,11,4.6342592592592595
