num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
25,0.1,erdos_renyi,0.99,7,500,101,31.432387057387057
10,0.75,complete,0.25,7,100,51,21.787878787878785
25,0.5,erdos_renyi,0.75,6,500,11,4.913617028319844
25,0.75,erdos_renyi,0.1,5,500,51,23.695638299974316
25,0.9,complete,0.9,8,500,11,4.940740740740741
90,0.9,complete,0.99,4,100,501,232.8011468738439
10,0.9,barabasi_albert,0.5,6,200,11,3.6904761904761902
100,0.9,complete,0.1,10,100,4,1.9832398054620277
10,0.1,erdos_renyi,0.75,2,50,51,17.8015873015873
25,0.1,erdos_renyi,0.5,3,500,11,4.288781535158347
100,0.1,erdos_renyi,0.5,9,500,51,24.1146301204334
50,0.99,erdos_renyi,0.9,10,200,51,24.33809153890645
100,0.75,complete,0.99,10,200,11,5.316630747126436
75,0.25,erdos_renyi,0.99,2,1000,4,1.803401512548268
10,0.1,erdos_renyi,0.9,2,200,101,28.5
50,0.5,erdos_renyi,0.5,8,500,11,5.216706574382774
75,0.5,barabasi_albert,0.9,9,100,501,195.9771689497717
75,0.99,complete,0.9,4,100,11,5.201189176070865
90,0.75,complete,0.75,4,50,11,5.307248307248307
25,0.1,erdos_renyi,0.1,4,1000,501,217.5040272001056
100,0.9,complete,0.1,10,50,101,49.8853722409278
90,0.75,barabasi_albert,0.5,5,200,501,221.97474747474746
10,0.99,erdos_renyi,0.25,7,100,51,22.61649831649832
25,0.75,erdos_renyi,0.5,2,200,51,24.32531310111955
10,0.75,erdos_renyi,0.9,5,50,101,40.733198924731184
75,0.1,complete,0.1,5,50,4,1.9590854392298436
100,0.75,erdos_renyi,0.25,8,500,51,25.09017239060218
100,0.25,erdos_renyi,0.25,10,200,101,49.04324566494257
10,0.25,barabasi_albert,0.9,8,500,4,1.0
100,0.1,barabasi_albert,0.75,9,500,11,3.6315789473684212
10,0.5,barabasi_albert,0.9,5,1000,4,1.1666666666666667
50,0.75,complete,0.25,6,1000,101,48.54357298474945
90,0.5,barabasi_albert,0.25,4,50,501,232.58333333333334
50,0.75,barabasi_albert,0.25,5,1000,51,21.805555555555554
100,0.5,erdos_renyi,0.9,8,100,101,48.50096008245029
100,0.75,erdos_renyi,0.1,6,500,501,246.6249012492957
10,0.9,complete,0.1,9,1000,101,41.38333333333333
50,0.5,complete,0.99,2,200,501,225.1078431372549
50,0.99,barabasi_albert,0.75,4,1000,51,20.242105263157896
50,0.75,erdos_renyi,0.25,4,500,4,1.944918032086152
50,0.1,complete,0.5,8,50,101,45.833333333333336
90,0.25,erdos_renyi,0.75,10,50,51,24.402574571087353
75,0.9,erdos_renyi,0.9,8,100,101,48.67037599932334
25,0.9,complete,0.1,8,500,11,5.222222222222222
10,0.75,barabasi_albert,0.9,7,100,101,32.416666666666664
10,0.25,erdos_renyi,0.25,5,500,51,19.083333333333332
10,0.25,erdos_renyi,0.9,9,200,101,33.08412698412698
90,0.99,barabasi_albert,0.9,7,1000,51,21.06896551724138
50,0.9,complete,0.25,4,100,101,48.7156684815487
75,0.1,erdos_renyi,0.25,5,200,11,5.213377707818961
25,0.99,barabasi_albert,0.75,4,100,11,4.466666666666666
100,0.1,barabasi_albert,0.9,5,100,11,3.7017543859649122
75,0.1,complete,0.75,5,50,101,44.43200962695548
50,0.5,complete,0.75,8,200,11,5.166122004357298
50,0.1,erdos_renyi,0.5,4,50,51,22.565295815295816
90,0.9,erdos_renyi,0.1,7,50,51,25.28936771792655
50,0.5,erdos_renyi,0.9,4,50,101,44.923506894607236
10,0.75,erdos_renyi,0.25,3,500,501,212.8466394716395
50,0.99,barabasi_albert,0.5,4,500,501,218.78947368421052
25,0.99,erdos_renyi,0.9,3,100,11,4.890253542132737
25,0.1,barabasi_albert,0.5,6,1000,101,22.75
100,0.25,barabasi_albert,0.25,9,500,11,4.612244897959183
100,0.99,erdos_renyi,0.1,10,500,101,49.749136543094686
75,0.75,complete,0.75,3,100,101,47.937850392439536
50,0.5,erdos_renyi,0.99,3,200,51,22.094762532166754
10,0.9,erdos_renyi,0.5,4,50,51,22.15418420296469
90,0.25,complete,0.5,2,100,101,49.321345321345326
90,0.5,barabasi_albert,0.25,10,100,4,1.8636363636363635
90,0.99,barabasi_albert,0.25,3,100,11,5.28544061302682
10,0.99,complete,0.99,2,200,101,38.34848484848485
50,0.9,erdos_renyi,0.25,8,100,51,24.63102605396102
10,0.75,barabasi_albert,0.99,10,200,11,3.75
90,0.99,erdos_renyi,0.5,2,200,51,25.18616694957157
25,0.99,barabasi_albert,0.99,8,50,101,38.45185185185185
75,0.9,erdos_renyi,0.1,9,100,101,49.882549501338836
90,0.25,erdos_renyi,0.75,9,1000,501,236.27541740590837
75,0.1,barabasi_albert,0.1,2,200,11,5.833333333333333
100,0.9,complete,0.25,3,50,51,25.362139917695472
25,0.1,barabasi_albert,0.99,5,100,101,25.5
50,0.99,barabasi_albert,0.5,5,500,11,4.775438596491228
50,0.75,complete,0.9,6,50,501,235.91249092229484
100,0.5,erdos_renyi,0.9,9,200,51,24.372393254706626
25,0.1,barabasi_albert,0.25,8,500,501,110.08333333333333
50,0.25,erdos_renyi,0.99,8,500,51,22.762523269588765
75,0.9,erdos_renyi,0.5,7,100,4,1.958096202273059
75,0.25,erdos_renyi,0.5,7,100,4,1.9322958518081483
100,0.5,erdos_renyi,0.99,5,200,501,230.826750209372
90,0.75,barabasi_albert,0.1,2,200,101,56.93939393939394
25,0.75,erdos_renyi,0.25,4,100,11,5.208677641239663
75,0.9,barabasi_albert,0.25,2,100,4,2.010178117048346
75,0.9,complete,0.75,2,1000,501,239.0452543051662
10,0.9,complete,0.9,9,100,101,39.425000000000004
90,0.99,barabasi_albert,0.9,3,50,51,20.04022988505747
100,0.9,complete,0.5,9,50,4,1.9753086419753085
75,0.25,erdos_renyi,0.1,6,50,51,24.81896308113781
10,0.25,complete,0.9,9,500,501,151.75757575757575
90,0.75,erdos_renyi,0.1,4,100,11,5.448138325057195
25,0.9,erdos_renyi,0.75,4,1000,11,5.039452987466677
90,0.75,barabasi_albert,0.75,9,200,101,43.89646464646464
75,0.99,complete,0.25,2,500,11,5.531003518990413
50,0.99,barabasi_albert,0.75,10,50,101,44.48421052631579
50,0.99,barabasi_albert,0.9,4,200,11,4.045614035087719
100,0.1,barabasi_albert,0.75,7,100,51,18.49122807017544
90,0.99,complete,0.9,2,500,101,48.13622603430878
75,0.99,erdos_renyi,0.25,8,50,101,49.822363868500794
