num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
25,0.5,erdos_renyi,0.75,5,200,501,197.57142857142858
100,0.5,erdos_renyi,0.25,2,500,501,250.19064748201438
100,0.9,barabasi_albert,0.99,6,200,501,184.96022727272728
10,0.99,barabasi_albert,0.1,5,50,4,1.2
90,0.5,complete,0.25,6,1000,101,47.561438561438564
75,0.9,barabasi_albert,0.5,10,100,501,220.26717557251908
10,0.1,erdos_renyi,0.99,4,100,4,1.25
90,0.75,erdos_renyi,0.25,6,500,51,24.72465707594513
75,0.1,complete,0.1,10,500,51,23.24548736462094
100,0.99,complete,0.75,10,1000,4,1.9487755102040816
100,0.25,erdos_renyi,0.9,2,100,51,23.491922455573505
50,0.1,barabasi_albert,0.9,2,200,501,166.11111111111111
75,0.75,erdos_renyi,0.75,9,200,101,47.84013605442177
90,0.5,barabasi_albert,0.99,9,1000,51,14.931818181818182
25,0.1,complete,0.5,2,1000,501,160.23333333333332
10,0.1,complete,0.9,7,100,51,4.75
75,0.25,complete,0.5,7,1000,51,23.266955266955268
50,0.75,erdos_renyi,0.25,9,1000,501,235.78236607142858
90,0.9,erdos_renyi,0.99,7,100,101,47.99302844394869
10,0.75,erdos_renyi,0.99,4,500,51,16.575757575757574
75,0.99,barabasi_albert,0.25,4,200,4,1.8472222222222223
50,0.9,barabasi_albert,0.5,3,1000,501,196.47674418604652
90,0.9,barabasi_albert,0.5,8,50,51,21.955696202531644
10,0.5,barabasi_albert,0.99,5,100,501,147.875
90,0.1,barabasi_albert,0.1,5,200,101,35.470588235294116
75,0.75,erdos_renyi,0.1,9,100,51,24.719905213270142
50,0.99,erdos_renyi,0.99,5,1000,101,45.62077493816982
50,0.99,erdos_renyi,0.75,9,500,51,23.855252274607114
100,0.1,barabasi_albert,0.75,6,1000,4,1.2105263157894737
10,0.9,erdos_renyi,0.75,8,1000,4,1.5333333333333334
100,0.9,erdos_renyi,0.9,9,1000,11,5.285102546765833
90,0.75,barabasi_albert,0.75,3,1000,11,4.075757575757576
50,0.5,erdos_renyi,0.5,4,50,101,47.486577181208055
25,0.5,erdos_renyi,0.5,8,1000,501,204.32857142857142
25,0.25,erdos_renyi,0.5,3,50,101,39.73076923076923
100,0.25,barabasi_albert,0.1,9,200,11,4.469387755102041
10,0.25,erdos_renyi,0.9,2,100,4,1.6
75,0.1,erdos_renyi,0.5,3,1000,501,217.01083032490973
90,0.1,erdos_renyi,0.75,9,500,101,44.07310704960835
90,0.25,complete,0.99,5,50,501,222.9030969030969
75,0.99,erdos_renyi,0.9,5,1000,11,5.136876592646524
75,0.1,barabasi_albert,0.9,9,500,4,1.0714285714285714
10,0.25,erdos_renyi,0.9,8,50,51,15.923076923076923
10,0.1,barabasi_albert,0.75,4,500,101,11.0
25,0.25,erdos_renyi,0.99,4,200,4,1.5211267605633803
50,0.99,complete,0.5,4,100,51,23.962871287128714
90,0.75,complete,0.5,2,1000,101,48.815184815184814
90,0.5,complete,0.5,2,100,101,48.58491508491508
90,0.9,barabasi_albert,0.25,4,1000,101,44.25949367088607
10,0.25,erdos_renyi,0.25,2,1000,501,187.6
25,0.1,barabasi_albert,0.99,3,50,11,3.5
